Company,Revenue USD Mil,Earnings Per Share USD,Dividends USD,Shares Mil,Operating Cash Flow USD Mil,Working Capital USD Mil,Return on Equity perc,Return on Assets perc,Interest Coverage,Cap Ex as a perc of Sales,Total Stockholders' Equity,Days Sales Outstanding,Payables Period,Inventory Turnover,Fixed Assets Turnover,Current Ratio,Debt/Equity,R&D,Price
CREG,,-0.88,,8.0,,25.0,-4.43,-3.26,0.81,,71.16,,,,,1.37,,,1.42
CRESY,,,,53.0,,,28.89,1.81,1.68,7.87,6.99,144.98,242.89,6.37,1.51,1.8,8.96,,12.15
CREX,22.0,-4.14,,4.0,-2.0,-3.0,-140.72,-46.72,-3.23,1.37,44.58,100.62,59.76,19.92,19.0,0.82,0.33,5.59,2.21
CRIS,10.0,-0.98,,33.0,-30.0,15.0,-334.15,-58.61,-7.3,0.82,-12.03,103.9,2700.87,,32.95,2.11,,125.0,1.86
CRMT,612.0,4.9,,7.0,10.0,409.0,15.74,8.29,,0.37,50.68,222.11,14.12,10.07,20.85,23.65,0.66,,74.209999
CRNC,277.0,0.16,,36.0,115.0,-39.0,0.59,0.43,,2.35,71.08,97.23,26.47,,20.74,0.68,,29.23,17.25
CRNT,344.0,0.28,,81.0,22.0,115.0,15.71,8.59,5.31,3.99,56.38,125.87,123.72,4.23,10.83,2.05,,8.19,2.98
CRNX,2.0,-2.23,,12.0,-19.0,159.0,-37.35,-29.0,,43.62,93.47,60.06,,,1.05,21.03,,,23.9
CRON,12.0,-0.13,,172.0,-7.0,14.0,-12.44,-10.24,,730.86,81.04,62.73,990.27,0.26,0.13,1.43,,14.97,13.81
CROX,1088.0,-1.01,,68.0,114.0,196.0,-41.18,-13.67,69.23,1.1,32.06,30.38,49.63,4.14,38.02,2.06,0.8,,25.98
CRSA,,,,31.0,,,-32.0,-1.33,,,3.32,,,,,0.09,,,9.85
CRSAU,,,,,,,-32.0,-1.33,,,3.32,,,,,0.09,,,10.15
CRSP,3.0,-3.44,,48.0,-96.0,439.0,-56.89,-43.4,,88.76,80.2,158.55,,,0.17,16.81,,,40.990002000000004
CRTO,2300.0,1.31,,68.0,261.0,329.0,9.71,5.67,80.08,5.45,60.0,76.0,104.86,,13.31,1.54,,7.79,18.969998999999998
CRTX,,-0.58,,22.0,-12.0,71.0,-48.79,-30.96,-12.04,,98.0,,,,,49.82,,,25.96
CRUS,1532.0,2.46,,66.0,319.0,473.0,14.0,11.39,230.92,5.52,81.23,26.3,33.98,4.13,8.53,4.38,,23.92,38.330002
CRVL,558.0,1.87,,19.0,62.0,65.0,23.04,14.01,,4.96,62.47,41.76,11.48,,8.43,1.67,,,59.450001
CRVS,,-1.71,,28.0,-41.0,109.0,-48.1,-44.07,,,93.32,,,,,16.45,,,3.77
CRWD,250.0,-0.82,,171.0,-23.0,50.0,,-41.94,-323.09,17.07,17.23,111.1,39.99,,4.36,1.18,,33.84,59.7000005
CRWS,70.0,0.3,0.32,10.0,2.0,33.0,7.72,5.82,34.46,0.31,69.49,88.59,32.22,2.84,63.33,5.86,0.24,,5.7
