Company,Revenue EUR Mil,Earnings Per Share EUR,Dividends EUR,Shares Mil,Operating Cash Flow EUR Mil,Working Capital EUR Mil,Return on Equity perc,Return on Assets perc,Interest Coverage,Cap Ex as a perc of Sales,Total Stockholders' Equity,Days Sales Outstanding,Payables Period,Inventory Turnover,Fixed Assets Turnover,Current Ratio,Debt/Equity,R&D,Price
EDAC,13.0,0.23,0,8.0,,2.0,92.74,19.48,78.15,,21.09,145.14,51.33,22.03,68.53,1.25,0.11,,
EDNR,9171.0,0.01,0,5377.0,588.0,433.0,0.92,0.52,37.8,4.87,56.98,65.86,41.72,36.64,2.51,1.17,0.06,,1.02
EEMS,,,0,435.0,,,-78.66,-16.15,,,14.1,,47241.43,,,1.01,,,0.0742
ELN,306.0,0.78,0.4,20.0,17.0,154.0,8.4,4.92,89.6,1.25,59.3,85.09,107.4,2.85,7.78,2.34,0.03,,27.74
ELES,14.0,0.02,0,11.0,1.0,1.0,3.2,0.89,2.51,,27.92,143.22,176.4,2.57,3.85,1.15,0.67,,
ELIN,46.0,0.59,0.25,8.0,7.0,7.0,31.4,8.57,17.26,18.31,28.46,108.36,177.45,46.72,3.33,1.32,0.7,,9.9
ELC,479.0,,0,62.0,29.0,-8.0,0.16,0.04,2.89,5.83,26.06,55.78,166.9,3.65,4.97,0.96,0.47,,2.16
EM,422.0,0.1,0.04,164.0,27.0,132.0,8.86,3.59,11.24,3.83,37.61,85.3,115.88,1.56,6.26,1.7,0.52,,1.288
ENAV,846.0,0.19,0.17,542.0,194.0,313.0,9.06,5.06,23.26,13.64,55.9,110.56,79.84,9.88,0.81,1.93,0.31,,4.258
ENEL,72664.0,0.37,0.18,10167.0,10125.0,-5183.0,10.86,2.43,3.96,11.7,25.16,70.41,91.83,21.03,0.96,0.87,1.22,,4.779
EMC,1.0,-0.45,0,,-6.0,4.0,-121.05,-52.93,-52.03,87.32,43.19,30.98,164.93,0.81,0.43,2.83,0.83,,3.26
ENT,90.0,-0.47,0,5.0,-14.0,21.0,-47.9,-3.25,-0.02,,8.82,114.13,104.92,8.8,13.02,1.59,3.46,,2.44
ENV,56.0,0.16,0.05,18.0,5.0,7.0,12.19,6.22,88.47,8.75,50.61,61.97,263.06,2.65,5.77,1.35,0.14,,3.24
ENGI,60596.0,0.37,0.72,2407.0,7874.0,4095.0,2.86,0.68,2.47,10.23,23.97,108.19,202.8,7.74,1.21,1.07,0.73,,13.835
ENI,66919.0,0.94,0.8,3603.0,10117.0,12021.0,6.68,2.82,2.16,12.97,41.81,58.27,66.76,12.95,1.0,1.48,0.42,,15.49
EPR,167.0,-0.36,0,40.0,-16.0,8.0,-25.65,-14.39,-142.17,2.34,57.51,8.81,64.16,9.43,23.61,1.25,0.01,,0.861
EQUI,56.0,0.24,0,45.0,,-7.0,20.6,4.74,12.48,1.19,32.07,,777.05,,94.28,0.47,1.78,,3.215
ERG,1024.0,0.89,1.15,149.0,297.0,689.0,3.58,2.83,5.67,6.24,77.86,90.3,80.09,23.65,0.46,2.31,0.49,,17.49
ESAU,16.0,0.25,0,12.0,2.0,5.0,58.38,24.85,267.38,6.97,47.92,134.61,112.19,6.22,116.31,2.05,0.13,,3.4225
PRT,3217.0,0.5,0.14,52.0,26.0,250.0,8.02,2.17,10.02,0.12,27.06,40.63,78.74,7.53,215.06,1.29,0.06,,3.88
EL,7490.0,4.71,1.5,221.0,1233.0,537.0,11.96,6.2,15.43,4.11,54.76,71.1,84.52,2.83,6.43,1.18,0.26,2.9,113.800003
EUK,52.0,-0.09,0,23.0,4.0,-3.0,-7.27,-3.42,-1.94,2.08,46.12,43.54,116.0,,2.02,0.8,0.53,,0.974
